time,gpu0-0,gpu0-1,gpu0-2,gpu0-3,gpu0-4,gpu0-5,gpu0-6,gpu0-7,gpu1-0,gpu1-1,gpu1-2,gpu1-3,gpu1-4,gpu1-5,gpu1-6,gpu1-7,gpu2-0,gpu2-1,gpu2-2,gpu2-3,gpu2-4,gpu2-5,gpu2-6,gpu2-7,gpu3-0,gpu3-1,gpu3-2,gpu3-3,gpu3-4,gpu3-5,gpu3-6,gpu3-7,gpu4-0,gpu4-1,gpu4-2,gpu4-3,gpu4-4,gpu4-5,gpu4-6,gpu4-7,gpu5-0,gpu5-1,gpu5-2,gpu5-3,gpu5-4,gpu5-5,gpu5-6,gpu5-7,gpu6-0,gpu6-1,gpu6-2,gpu6-3,gpu6-4,gpu6-5,gpu6-6,gpu6-7,gpu7-0,gpu7-1,gpu7-2,gpu7-3,gpu7-4,gpu7-5,gpu7-6,gpu7-7,gpu8-0,gpu8-1,gpu8-2,gpu8-3,gpu8-4,gpu8-5,gpu8-6,gpu8-7,gpu9-0,gpu9-1,gpu9-2,gpu9-3,gpu9-4,gpu9-5,gpu9-6,gpu9-7,gpu10-0,gpu10-1,gpu10-2,gpu10-3,gpu10-4,gpu10-5,gpu10-6,gpu10-7,gpu11-0,gpu11-1,gpu11-2,gpu11-3,gpu11-4,gpu11-5,gpu11-6,gpu11-7,gpu12-0,gpu12-1,gpu12-2,gpu12-3,gpu12-4,gpu12-5,gpu12-6,gpu12-7,gpu13-0,gpu13-1,gpu13-2,gpu13-3,gpu13-4,gpu13-5,gpu13-6,gpu13-7,gpu14-0,gpu14-1,gpu14-2,gpu14-3,gpu14-4,gpu14-5,gpu14-6,gpu14-7,gpu15-0,gpu15-1,gpu15-2,gpu15-3,gpu15-4,gpu15-5,gpu15-6,gpu15-7,ce
244498,,,,,,,,,40,26,28,73,80,83,86,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.14162211209921266
244738,,,,,,,,,40,26,28,73,80,83,86,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.14162211209921266
244978,,,,,,,,,40,26,28,73,80,83,86,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.14162211209921266
245218,,,,,,,,,40,26,28,80,83,86,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.13380961209921266
245458,,,,,,,,,40,26,28,80,83,86,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.13380961209921266
245698,,,,,,,,,40,26,28,80,83,86,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.13380961209921266
245938,,,,,,,,,40,26,28,80,83,86,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.13380961209921266
246178,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
246418,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
246658,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
246898,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
247138,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
247378,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
247618,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
247858,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
248098,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
248338,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
248578,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
248818,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
249058,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
249298,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
249538,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
249778,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
250018,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
250258,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
250498,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
250738,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
250978,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
251218,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
251458,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
251698,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
251938,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
252178,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
252418,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
252658,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
252898,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
253138,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
253378,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
253618,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
253858,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
254098,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
254338,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
254578,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
254818,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
255058,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
255298,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
255538,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
255778,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
256018,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
256258,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
256498,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
256738,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
256978,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
257218,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
257458,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
257698,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
257938,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
258178,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
258418,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
258658,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
258898,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
259138,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
259378,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
259618,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
259858,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
260098,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
260338,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
260578,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
260818,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
261058,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
261298,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
261538,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
261778,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
262018,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
262258,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
262498,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
262738,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
262978,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
263218,,,,,,,,,40,26,28,80,83,,,,,,,,,,,,85,85,85,85,85,85,85,85,93,93,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,,,,,0.12599711209921266
